speciesNumber,commonName,scientificName,speciesGuild
1,Forage Fish,latin name,Planktivore
2,Spiny dogfish,Squalus acanthius,Piscivore
3,Winter skate,Raja ocellata,Piscivore
4,Little skate,Leucoraja erinacea,Macrozoo-Piscivore
5,Atlantic herring,Clupea harenegus,Planktivore
6,Silver hake,Merlucius bilinearis,Piscivore
7,Atlantic cod,Gadus morhua,Piscivore
8,Haddock,Melanogrammus aeglefinnus,Benthivore
9,Pollock,Pollachius virens,Macrozoo-Piscivore
10,White hake,Urophycis tenuis,Piscivore
11,Red hake,Urophycis chuss,Macrozoo-Piscivore
12,Fourspot flounder,Paralichthys oblongus,Piscivore
13,Summer flounder,Paralichthys dentatus,Piscivore
14,Yellowtail founder,Limanda ferruginai,Benthivore
15,Winter flounder,Pseaudopleurinectes americanus,Benthivore
16,Witch flounder,Glyptocephalus cynoglossus,Benthivore
17,Windowpane flounder,Scophthalmus aquosus,Macrozoo-Piscivore
18,Atlantic mackerel,Scomber scombrus,Planktivore
19,Longhorn sculpin,Myoxocephalus octdecemspinosus,Macrozoo-Piscivore
20,Sea raven,Hemitripterus americanus,Piscivore
21,Goosefish,Lophius americanus,Piscivore
22,Sandlance,Ammodytes americanus,Planktivore
